city,settle_date,market,forecast,actual,lo,hi,p_model,p_market,edge,action,entry_price,won_yes,pnl_per_contract
LAX,2026-04-26,KXHIGHLAX-26APR26-B66.5,65.5,62.3,66.5,67.5,0.128,0.69,-0.562,NO,0.33,False,0.65
LAX,2026-04-27,KXHIGHLAX-26APR27-B66.5,65.6,64.1,66.5,67.5,0.132,0.64,-0.508,NO,0.38,False,0.6
LAX,2026-04-28,KXHIGHLAX-26APR28-B68.5,68.6,68.9,68.5,69.5,0.144,0.23,-0.086,NO,0.79,True,-0.8
LAX,2026-04-28,KXHIGHLAX-26APR28-B70.5,68.6,68.9,70.5,71.5,0.115,0.71,-0.595,NO,0.31,False,0.68
LAX,2026-04-29,KXHIGHLAX-26APR29-B72.5,68.6,68.8,72.5,73.5,0.013,0.11,-0.097,NO,0.91,False,0.08
LAX,2026-04-29,KXHIGHLAX-26APR29-B70.5,68.6,68.8,70.5,71.5,0.115,0.24,-0.125,NO,0.78,False,0.21
LAX,2026-04-29,KXHIGHLAX-26APR29-B66.5,68.6,68.8,66.5,67.5,0.116,0.21,-0.094,NO,0.81,False,0.18
LAX,2026-04-29,KXHIGHLAX-26APR29-B68.5,68.6,68.8,68.5,69.5,0.144,0.86,-0.716,NO,0.16,True,-0.17
LAX,2026-04-30,KXHIGHLAX-26APR30-B70.5,68.6,69.5,70.5,71.5,0.115,0.51,-0.395,NO,0.51,False,0.47
MIA,2026-04-22,KXHIGHMIA-26APR22-B77.5,78.5,79.5,77.5,78.5,0.31,0.16,0.15,YES,0.18,False,-0.19
MIA,2026-04-22,KXHIGHMIA-26APR22-B81.5,78.5,79.5,81.5,82.5,0.013,0.21,-0.197,NO,0.81,False,0.18
MIA,2026-04-22,KXHIGHMIA-26APR22-B79.5,78.5,79.5,79.5,80.5,0.105,0.67,-0.565,NO,0.35,True,-0.37
MIA,2026-04-23,KXHIGHMIA-26APR23-B79.5,77.9,78.1,79.5,80.5,0.04,0.49,-0.45,NO,0.53,False,0.45
