settle_date,ticker,side,entry_price,contracts,result,settle_price,pnl_dollars,source_workflow
2026-06-03,KXHIGHCHI-26JUN03-B82.5,no,0.0,0,yes,0.0,-0.0,midday
2026-06-03,KXHIGHAUS-26JUN03-B86.5,no,0.0,0,no,1.0,0.0,midday
2026-06-03,KXHIGHCHI-26JUN03-B82.5,no,0.0,0,yes,0.0,-0.0,midday
2026-06-03,KXHIGHAUS-26JUN03-B88.5,yes,0.0,0,yes,1.0,0.0,midday
2026-06-03,KXHIGHCHI-26JUN03-B84.5,no,0.0,0,no,1.0,0.0,midday
2026-06-03,KXHIGHAUS-26JUN03-B90.5,yes,0.0,0,no,0.0,-0.0,midday
2026-06-03,KXHIGHAUS-26JUN03-B88.5,yes,0.0,0,yes,1.0,0.0,midday
2026-06-03,KXHIGHNY-26JUN03-T83,yes,0.0,0,no,0.0,-0.0,midday
2026-06-03,KXHIGHAUS-26JUN03-B86.5,no,0.0,0,no,1.0,0.0,midday
2026-06-03,KXHIGHNY-26JUN03-B82.5,no,0.0,0,yes,0.0,-0.0,midday
2026-06-03,KXHIGHNY-26JUN03-B82.5,no,0.0,0,yes,0.0,-0.0,midday
2026-06-03,KXHIGHCHI-26JUN03-B82.5,no,0.0,0,yes,0.0,-0.0,midday
2026-06-03,KXHIGHLAX-26JUN03-B69.5,no,0.0,0,yes,0.0,-0.0,midday
2026-06-03,KXHIGHNY-26JUN03-T83,yes,0.0,0,no,0.0,-0.0,midday
2026-06-03,KXHIGHLAX-26JUN03-B71.5,no,0.0,0,no,1.0,0.0,midday
2026-06-04,KXHIGHAUS-26JUN04-B88.5,no,0.0,0,no,1.0,0.0,midday
2026-06-04,KXHIGHAUS-26JUN04-B86.5,yes,0.0,0,yes,1.0,0.0,midday
2026-06-04,KXHIGHAUS-26JUN04-B84.5,yes,0.0,0,no,0.0,-0.0,midday
2026-06-04,KXHIGHMIA-26JUN04-T86,no,0.0,0,no,1.0,0.0,midday
2026-06-04,KXHIGHNY-26JUN04-B86.5,yes,0.0,0,yes,1.0,0.0,midday
